year,men_less_than_hs,men_high_school,men_some_college,men_bachelors_degree,men_advanced_degree,women_less_than_hs,women_high_school,women_some_college,women_bachelors_degree,women_advanced_degree,average_hourly_earnings_for_men,average_hourly_earnings_for_women,men_less_than_hs_relative_salary,men_high_school_relative_salary,men_some_college_relative_salary,men_bachelors_degree_relative_salary,men_advanced_degree_relative_salary,women_less_than_hs_relative_salary,women_high_school_relative_salary,women_some_college_relative_salary,women_bachelors_degree_relative_salary,women_advanced_degree_relative_salary
1983,18.89,24.33,26.04,36.21,40.53,12.72,16.52,18.23,23.75,29.65,29.2,20.174,0.6469178082191781,0.8332191780821917,0.8917808219178082,1.240068493150685,1.388013698630137,0.6305145236442947,0.8188757807078417,0.903638346386438,1.1772578566471696,1.4697134926142559
1984,18.66,24.06,25.97,36.63,41.3,12.55,16.45,18.44,24.11,30.55,29.324,20.419999999999998,0.6363388350838903,0.8204883371981994,0.8856226981312235,1.2491474560087301,1.4084026735779565,0.6145935357492656,0.8055827619980411,0.903036238981391,1.1807051909892263,1.4960822722820766
1985,18.46,24.14,26.25,37.0,42.75,12.49,16.6,18.69,24.69,30.9,29.72,20.674,0.6211305518169583,0.8122476446837147,0.8832436069986541,1.2449528936742935,1.4384253028263796,0.6041404662861566,0.8029408919415693,0.9040340524330077,1.1942536519299605,1.4946309374093063
1986,18.44,24.24,27.04,38.52,44.72,12.59,16.94,19.04,25.45,32.03,30.592000000000002,21.21,0.6027719665271967,0.7923640167364016,0.8838912133891212,1.2591527196652719,1.4618200836820083,0.5935879302215935,0.7986798679867987,0.8976897689768976,1.1999057048561999,1.51013672795851
1987,18.05,24.17,27.02,39.07,45.58,12.36,16.98,19.25,26.11,32.69,30.778,21.478,0.5864578595100397,0.7853011891610892,0.8778997985574112,1.2694132172330885,1.4809279355383715,0.575472576589999,0.790576403761989,0.8962659465499581,1.2156625384113975,1.5220225346866558
1988,18.02,24.18,26.71,39.34,46.35,12.46,17.08,19.39,26.37,32.97,30.919999999999998,21.654,0.5827943078913325,0.7820181112548512,0.8638421733505822,1.272315653298836,1.4990297542043987,0.5754133185554632,0.7887688186940056,0.895446568763277,1.2177888611803824,1.5225824328068716
1989,17.63,23.31,25.78,36.6,44.02,12.25,16.77,19.47,26.48,33.54,29.468,21.701999999999998,0.5982760961042486,0.7910275553142392,0.8748472919777386,1.2420252477263474,1.4938238088774265,0.564464104690812,0.7727398396461156,0.897152336190213,1.2201640401806286,1.5454796792922312
1990,16.9,22.69,25.75,36.77,44.6,12.23,16.69,19.48,27.07,33.14,29.342000000000002,21.722,0.5759661918069661,0.7732942539704178,0.8775816236112057,1.25315247767705,1.5200054529343603,0.5630236626461652,0.768345456219501,0.8967866678943007,1.246202007181659,1.5256422060583739
1991,16.66,22.49,25.46,36.36,45.38,12.47,16.97,19.57,26.92,34.11,29.27,22.008000000000003,0.569183464297916,0.7683635121284591,0.869832593098736,1.2422275367270244,1.5503928937478648,0.5666121410396219,0.7710832424572881,0.889222101054162,1.223191566703017,1.5498909487459103
1992,16.42,22.32,24.95,36.38,45.58,12.54,16.88,19.67,27.51,34.82,29.129999999999995,22.284000000000002,0.5636800549261931,0.7662203913491248,0.85650532097494,1.2488843117061452,1.564709921043598,0.5627355950457726,0.7574941662179141,0.8826961048285765,1.234518039849219,1.5625560940585173
1993,16.09,22.18,24.84,36.37,46.08,12.36,16.99,19.82,27.58,35.48,29.112000000000002,22.445999999999998,0.5526930475405331,0.7618851332783732,0.8532563891178895,1.2493129980763944,1.5828524319868094,0.5506549051055868,0.7569277376815469,0.8830081083489264,1.2287267219103626,1.5806825269535776
1994,15.72,22.39,24.89,36.89,47.61,12.26,17.2,19.76,28.08,38.13,29.5,23.086000000000002,0.5328813559322034,0.7589830508474577,0.843728813559322,1.2505084745762711,1.6138983050847457,0.5310577839383175,0.745040284154899,0.8559300008663259,1.216321580178463,1.6516503508619942
1995,15.39,22.2,24.78,37.07,47.93,11.84,16.95,19.43,28.21,37.21,29.474,22.728,0.5221551197665739,0.7532062156476894,0.8407409920607993,1.2577186672999932,1.626179005224944,0.5209433298134459,0.7457761351636747,0.85489264343541,1.241200281590989,1.63718760999648
1996,15.45,22.11,24.79,36.8,47.89,11.75,16.92,19.55,27.98,37.61,29.408000000000005,22.762,0.5253672470076168,0.7518362350380847,0.8429678998911859,1.2513601741022848,1.6284684439608268,0.5162112292417187,0.743344170108075,0.8588876197170723,1.2292417186538969,1.6523152622792372
1997,15.44,22.58,25.33,37.84,48.47,12.02,17.11,19.85,28.84,37.8,29.932,23.124000000000002,0.5158358946946412,0.7543765869303755,0.8462515034077241,1.2641988507283177,1.6193371642389416,0.5198062618924061,0.739923888600588,0.8584154990486075,1.247189067635357,1.6346652828230408
1998,16.04,22.99,25.86,39.63,49.41,12.4,17.54,20.34,30.01,38.56,30.786,23.770000000000003,0.5210160462547911,0.7467680114337685,0.8399922042486844,1.2872734359773923,1.6049503020853633,0.5216659655027345,0.7379049221708034,0.8557004627681951,1.2625157761884727,1.6222128733697938
1999,16.16,23.31,26.34,40.71,51.52,12.42,17.78,20.55,30.53,39.36,31.608000000000004,24.128,0.5112629713996456,0.7374715261958996,0.8333333333333333,1.2879650721336369,1.629967096937484,0.5147546419098143,0.7369031830238727,0.8517075596816976,1.2653348806366047,1.6312997347480105
2000,16.13,23.48,26.78,41.41,51.48,12.52,17.87,20.76,31.19,39.36,31.856,24.34,0.5063410346559517,0.7370668006027122,0.8406579608237067,1.2999121044701154,1.6160220994475136,0.514379622021364,0.7341824157764997,0.8529170090386197,1.2814297452752672,1.6170912078882498
